"","ESV_study_names[Summary_df$KO, ]","KO","PRES_ABS","number_genome_present","nb_genome_considered","sub","prod"
"1","UDPglucose 6-dehydrogenase [EC:1.1.1.22] (UGDH, ugd)","K00012","pres",1,1," UDP-glucose + H2O + 2 NAD+ "," UDP-glucuronate + 2 NADH + 2 H+"
"2","isocitrate dehydrogenase [EC:1.1.1.42] (IDH1, IDH2, icd)","K00031","pres",1,1," Isocitrate + NADP+  ; Oxalosuccinate  ; Isocitrate + NADP+ "," 2-Oxoglutarate + CO2 + NADPH + H+ ; 2-Oxoglutarate + CO2 ; Oxalosuccinate + NADPH + H+"
"3","N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] (argC)","K00145","pres",1,1," N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate + NADP+ "," N-Acetyl-L-glutamate 5-phosphate + NADPH + H+"
"4","glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1] (argJ)","K00620","pres",1,1," Acetyl-CoA + L-Glutamate  ; N-Acetylornithine + L-Glutamate "," CoA + N-Acetyl-L-glutamate ; L-Ornithine + N-Acetyl-L-glutamate"
"5","gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13] (ggt)","K00681","pres",1,1," Glutathione + H2O  ; Glutathione + L-Amino acid  ; (5-L-Glutamyl)-peptide + Taurine  ; Leukotriene C4 + Amino acid  ; R-S-Glutathione + H2O  ; 3-Cyano-L-alanine + L-Glutamate  ; 3-Aminopropiononitrile + L-Glutamate  ; (5-L-Glutamyl)-peptide + Se-Methyl-L-selenocysteine "," Cys-Gly + L-Glutamate ; Cys-Gly + (5-L-Glutamyl)-L-amino acid ; Peptide + 5-L-Glutamyl-taurine ; Leukotriene D4 + 5-L-Glutamyl amino acid ; R-S-Cysteinylglycine + L-Glutamate ; gamma-Glutamyl-beta-cyanoalanine + H2O ; gamma-Glutamyl-beta-aminopropiononitrile + H2O ; Peptide + gamma-Glutamyl-Se-methylselenocysteine"
"6","acetylornithine aminotransferase [EC:2.6.1.11] (E2.6.1.11, argD)","K00818","pres",1,1," N-Acetylornithine + 2-Oxoglutarate "," N-Acetyl-L-glutamate 5-semialdehyde + L-Glutamate"
"7","diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76] (E2.6.1.76, ectB)","K00836","pres",1,1," L-Glutamate + L-Aspartate 4-semialdehyde "," 2-Oxoglutarate + L-2,4-Diaminobutanoate"
"8","gluconokinase [EC:2.7.1.12] (E2.7.1.12, gntK, idnK)","K00851","pres",1,1," ATP + D-Gluconic acid "," ADP + 6-Phospho-D-gluconate"
"9","carbamate kinase [EC:2.7.2.2] (arcC)","K00926","pres",1,1," ATP + Ammonia + CO2  ; ATP + Carbamate "," ADP + Carbamoyl phosphate ; ADP + Carbamoyl phosphate"
"10","acetylglutamate kinase [EC:2.7.2.8] (argB)","K00930","pres",1,1," ATP + N-Acetyl-L-glutamate "," ADP + N-Acetyl-L-glutamate 5-phosphate"
"11","thiamine pyrophosphokinase [EC:2.7.6.2] (thiN, TPK1, THI80)","K00949","pres",1,1," ATP + Thiamine "," AMP + Thiamin diphosphate"
"12","citrate synthase [EC:2.3.3.1] (CS, gltA)","K01647","pres",1,1," Citrate + CoA "," Acetyl-CoA + H2O + Oxaloacetate"
"13","aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] (acnB)","K01682","pres",1,1," Citrate  ; Citrate  ; Isocitrate  ; (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate "," Isocitrate ; cis-Aconitate + H2O ; cis-Aconitate + H2O ; (Z)-But-2-ene-1,2,3-tricarboxylate + H2O"
"14","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (queD, ptpS, PTS)","K01737","pres",1,1," 7,8-Dihydroneopterin 3'-triphosphate  ; 7,8-Dihydroneopterin 3'-triphosphate + H2O "," 6-Pyruvoyltetrahydropterin + Triphosphate ; 6-Carboxy-5,6,7,8-tetrahydropterin + Acetaldehyde + Triphosphate"
"15","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5] (carB, CPA2)","K01955","pres",1,1," L-Glutamine + H2O  ; 2 ATP + L-Glutamine + HCO3- + H2O  ; ATP + Carbamate  ; ATP + HCO3-  ;NA"," L-Glutamate + Ammonia ; 2 ADP + Orthophosphate + L-Glutamate + Carbamoyl phosphate ; ADP + Carbamoyl phosphate ; ADP + Carboxyphosphate ;NA"
